                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1615,                 2.9398,                 1.3928,                 1.0237,                 5.9855,                 1.2918,                0.00333,                      1,                0.31628,                 0.1684,                0.50905,                 2.9267,                0.97966,                0.39464,                 8.8338,                0.98156,                  4e-05,                  4e-05,                  4e-05
                      2,                0.94991,                 2.7717,                 1.2415,                0.82029,                 5.5469,                 1.1968,                0.00333,                      1,                0.53471,                0.46195,                0.33368,                 2.8751,                0.85004,                0.27648,                 8.7169,                0.90755,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      3,                0.71006,                 2.4395,                 1.0758,                0.60562,                  5.362,                  1.012,                0.00333,                      1,                0.73266,                0.70016,                0.32063,                 2.8586,                0.84603,                0.21011,                 8.6411,                0.83132,             0.00015842,             0.00015842,             0.00015842
                      4,                0.66675,                 2.1684,                 1.0871,                0.63038,                 5.5729,                 1.0545,                0.00333,                      1,                 0.7587,                0.72091,                0.33297,                 2.8251,                0.85805,                0.23011,                 8.6095,                0.81285,             0.00021673,             0.00021673,             0.00021673
                      5,                0.68255,                 1.7988,                 1.0771,                 0.6295,                  5.335,                 1.0245,                0.00333,                      1,                0.75167,                0.67729,                0.46246,                 2.7906,                0.88893,                 0.2747,                 8.5815,                0.86642,             0.00027446,             0.00027446,             0.00027446
                      6,                0.68939,                 1.5687,                  1.045,                  0.635,                 4.9089,                 1.0025,                0.00333,                      1,                0.77544,                0.72015,                 0.4266,                 2.6862,                0.90398,                0.36238,                 8.5347,                 0.8827,             0.00033159,             0.00033159,             0.00033159
                      7,                0.76071,                 1.4677,                  1.082,                0.69282,                 4.3657,                 1.0293,                0.00333,                      1,                0.89578,                0.80359,                0.44068,                 2.5907,                0.96348,                0.35593,                 8.5013,                0.87085,             0.00038812,             0.00038812,             0.00038812
                      8,                0.84202,                 1.4144,                  1.149,                0.77357,                 4.4766,                 1.0645,                0.00333,                      1,                0.84677,                0.75513,                0.45482,                 2.5659,                0.96467,                0.30464,                  8.467,                 0.8031,             0.00044406,             0.00044406,             0.00044406
                      9,                0.70859,                 1.2438,                  1.032,                0.56857,                 4.5317,                0.96955,                0.00333,                      1,                 0.8823,                0.79581,                0.42135,                 2.5474,                0.89776,                0.41292,                 8.5513,                0.87877,             0.00049941,             0.00049941,             0.00049941
                     10,                0.74384,                 1.2558,                 1.0745,                0.71622,                 4.5863,                 1.0268,                0.00333,                      1,                  0.945,                0.82538,                0.46332,                 2.5219,                0.94061,                0.41113,                  8.605,                0.86646,             0.00055416,             0.00055416,             0.00055416
                     11,                0.73811,                 1.2271,                 1.0503,                0.68244,                 3.8789,                 1.0315,                0.00333,                      1,                0.96643,                0.71827,                 0.5258,                 2.4696,                0.98763,                0.43407,                 8.6302,                0.92343,             0.00060832,             0.00060832,             0.00060832
                     12,                  0.696,                 1.1654,                0.99972,                0.71203,                 4.1638,                 1.0165,                0.00333,                      1,                0.92167,                0.74658,                0.54462,                 2.5181,                 1.0096,                0.39689,                  8.611,                0.91752,             0.00066188,             0.00066188,             0.00066188
                     13,                0.81469,                 1.1603,                  1.142,                0.82051,                 3.8642,                 1.0899,                0.00333,                      1,                0.88305,                0.79129,                0.49332,                 2.4794,                 0.9812,                0.40877,                 8.6016,                0.90123,             0.00071486,             0.00071486,             0.00071486
                     14,                0.84283,                 1.1282,                 1.0697,                0.82525,                 3.6373,                 1.0014,                0.00333,                      1,                0.89056,                0.81617,                0.68625,                 2.4324,                 1.2195,                0.37313,                 8.4979,                0.88157,             0.00076723,             0.00076723,             0.00076723
                     15,                0.76096,                  1.202,                 1.0986,                0.76717,                 4.5402,                 1.0989,                0.00333,                      1,                0.88468,                0.76394,                0.53501,                 2.3866,                  1.034,                0.49274,                 8.6019,                0.92244,             0.00081902,             0.00081902,             0.00081902
                     16,                0.94085,                 1.2141,                 1.1319,                0.89407,                 4.0164,                 1.1268,                0.00333,                      1,                0.86693,                0.46551,                   1.64,                  3.249,                  2.075,                0.89971,                 9.1494,                  1.436,             0.00087021,             0.00087021,             0.00087021
                     17,                0.92766,                 1.1613,                 1.1252,                0.88908,                 3.5109,                 1.1231,                0.00333,                      1,                0.13789,                0.08278,                 1.5274,                  3.328,                 2.0758,                0.99399,                  9.387,                 1.3461,              0.0009208,              0.0009208,              0.0009208
                     18,                0.80551,                 1.1307,                 1.0535,                0.83335,                 3.7646,                 1.0306,                0.00333,                      1,                0.38088,                0.24943,                 1.0327,                 2.9209,                 1.4623,                0.60656,                 8.7308,                 1.0496,              0.0009708,              0.0009708,              0.0009708
                     19,                0.85534,                 1.1162,                 1.0721,                0.91208,                 3.3645,                 1.0871,                0.00333,                      1,                0.75218,                0.61558,                0.78712,                 2.5944,                 1.2041,                0.60196,                 8.4736,                0.96271,              0.0010202,              0.0010202,              0.0010202
                     20,                0.88268,                 1.1582,                 1.1058,                0.85194,                 3.5749,                 1.0798,                0.00333,                      1,                0.61656,                0.53683,                0.85453,                 2.6273,                 1.4151,                0.52643,                 8.3127,                 1.0316,               0.001069,               0.001069,               0.001069
                     21,                0.91734,                 1.0404,                 1.1382,                0.98921,                  3.204,                 1.1534,                0.00333,                      1,                 0.7091,                0.52245,                 1.1517,                 2.8801,                 1.7937,                0.71555,                 8.4618,                 1.2102,              0.0011172,              0.0011172,              0.0011172
                     22,                0.85751,                 1.1663,                 1.1501,                0.99489,                 3.9716,                 1.2012,                      1,                0.39262,                0.78865,                0.62629,                0.68992,                 2.3878,                 1.1709,                0.68336,                  8.103,                 1.1522,              0.0011649,              0.0011649,              0.0011649
                     23,                 0.6865,                0.95309,                 1.0233,                0.70381,                 3.3648,                 1.0139,                0.54306,                0.36029,                0.61568,                0.50243,                0.57342,                 2.3248,                  1.051,                0.41534,                 7.9367,                 1.0245,              0.0012119,              0.0012119,              0.0012119
                     24,                0.83084,                 1.2032,                 1.1536,                  0.787,                 4.2517,                 1.0971,                0.40696,                    0.6,                0.54294,                0.45844,                0.67255,                 2.4302,                 1.1256,                0.54199,                 7.9542,                  1.047,              0.0012583,              0.0012583,              0.0012583
                     25,                0.74647,                0.97763,                 1.0273,                0.72469,                 2.9124,                 1.0227,                0.00333,                      1,                0.40304,                0.29504,                0.79012,                 2.4002,                 1.2501,                0.53431,                 7.9897,                0.98591,              0.0013042,              0.0013042,              0.0013042
                     26,                 0.8196,                0.89226,                0.99541,                0.84833,                 2.8205,                0.98213,                0.00333,                      1,                0.44639,                0.21362,                  1.598,                 2.7748,                  2.426,                0.90142,                 8.4932,                 1.2017,              0.0013494,              0.0013494,              0.0013494
                     27,                0.87935,                0.94197,                 1.1414,                0.94505,                 3.0774,                 1.1331,                0.00267,                    0.8,                0.16187,                0.03203,                 2.5156,                 3.2178,                 3.9557,                 1.8852,                 9.7218,                 1.9012,              0.0013941,              0.0013941,              0.0013941
